Username,Comment
@thatradioboy,The United States is so COOKED 💀
@ej12349,First lie. What a joke!  Trump claims that he wants clean water.  The truth is that he wants to help the Corporations dismantle the EPA.
@jacobmay7531,"This is what we have to lead America.This is sad to people fighting each other like children in front of the whole world.
We all need to WAKE UP! Our country looks weak!! How did we get here with these two! Wake up america , it's all a distraction from something bigger!"
@sumbreonrj5746,"As an uninformed outsider, listening to these people was depressing. Trump sounds like he's only pushing Biden to the edge so that Biden doesn't get voted, and Biden sounds way to muffled to actually be taken seriously. Leaving the only racional option that I've been shown to be Trump, wich sounds like he's lying half the time, using exaggerations to make Biden look even worse than he already looks, and not talking at all about himself and actually promoting he's person. Neither of this old men should be chosen for controlling one of the biggest nations on earth.



Also I won't answer anything."
@audiolego,Yikes
@zacheryhenderson497,Neither one of them answer the questions. . . .
@zacharyshearer1569,Trump 2024!!
@RealisticMon,Claire is just like all the other trump haters… no facts just insults.
@RealisticMon,The last debate Biden told Trump to inject bleach into his arm!!!??? Good lord…
@johnwatkins343,The great American Ree set to dubble the price of everything and bring the American people to their knees? Food oil electric homes cars credit card interest taxes will go up and there using inflation also to help to do this one world banking the boarders elegl s geting guns paid 10.000 each to come in to our country were does it stop brought to you by joe Biden and the democrat party. Life long conservative democrat cowboy Rob from MD says 7/2/24
@GaryFord-ib7oz,"What do you think  think putin will just  walk away ?  Biden sayz ??  
Joe and his  boy 
OBOMA  WERE  TOLD THOSE  VERY  WORDS  ?  WHAT DID JOE/ OBOMA   
 DO   THEY SENT  BLANKETS AND  FOOD PACKETS
 TRUMP GOT IN AND AGINST """" AGINST  THE  OBOMA/ DEM / JOE
 GENERALS  .. ADVICE  TRUMP SENT ANTI TANK AND  MINES AND  GUMS ??  NOT BLANKETS AND  BREAD"
@RealisticMon,Of course they want him to run four more years. He’s a puppet! That poor man needs to be in bed!
@RealisticMon,Is he lowing the bar for himself 😂😂😂 stop it .
@GaryFord-ib7oz,"1 question all trumps  fault  
2 we are working on it   ? 
3.5 years food up 15 to 30 % 
That on him  not trump   
But they were criticizing trump and  his  food prices
3  so where  joe is the  build  back  better    Up 25% 
 Inflation / value of  mony    1.00 $  is 20% less $ 1.00  now   3.5 years later
 $ 0.80  $  
   Food and money value  =  45 % of  income  loss  for  familys  and  business  $ 1.00 = .50 $  1/2   of income   GONE   
CREDIT  CARD  DEDT  AND  OTHER  DEBT  RECORD  HIGH FOR AMERICANS ?  

3  MORE 4  MORE  WE WILL NEVER   DIG  OUT OF THIS  GREEN ENERGY  SCAM  
CHINA IS PASSING US  BY  MILITARLY ECONOMICALY  & 
EDUCATIONALY ?  
RETURNE JOBS TO  AMERICA  AND  RESTORE  FREEDOM"
@AnsukuAnime,"Can anyone please translate what Biden said?
I'm not joking really, i barely compresence like two words and then Boom i can't understand

can anyone highlight what he said pls?"
@RandyMarsh-dh9es,Wow.  Biden got destroyed so bad I had to check and made sure this wasn’t a LiveLeak
@GaryFord-ib7oz,Its over  joe
@christiang9893,"I wish both of them would answer the question, then rag on each other. 
There was so many times I had to rewind to try to understand Bidens slurred speech"
@ChrisThul487,"I was with trump until he said Biden was the worst president, that was just mean"
@justaperson2653,Oh God. It's worse than what I expected
@cocothumb4392,vote for Jill Stein 💚 we still have a chance to vote for a 3rd party candidate.
@stelladean2669,Painful to watch...I had to take breaks.
@ataraxia2663,just watched the 1960 debate between nixxon and kenedy and i can only say GOOD LUCK AMERICA
@johndough2523,The only reason you're surprised by Biden's performance is because the Democrat Party has been LYING to you!!!! Maybe it's time to start listening to those of us who have been telling you THE TRUTH this whole time? I was a Registered Democrat my entire adult life until I had a moment of clarity. The leftist mainstream media cannot be trusted.
@tarellalovelace,I’d keep asking if the dummy keeps giving me billions of dollars too. 😂😂
@electricpineapple9023,The fact they believe the economy is strong when inflation is killing the middle class... is a joke
@jdwilson533,The cognitive test is a great idea… Biden willing to risk it all on the golf course 😂😂
@jdwilson533,"The worst thing NBC can continue to do is control the comments on this debate… We have to put a stop to this, Biden’s awareness is out the window at this point. It’s an embarrassment to us all not mention the dangers of having this man lead OUR COUNTRY!!!"
@Mb47836,Watch the debate at 1.75x speed. Takes 20 years off them both
@melanieleon3070,Has BIDEN SEEN THE VETS in the streets etc NOOOO
@Sweet_Kxrma,"Trump: “Guys lets stop acting like children, we are not child.” 
Biden: “You are a child.”"
@hadesdogs4366,Illegals
@hadesdogs4366,I’m amazed Biden was able to make a full and complete sentence 😂😂
@hadesdogs4366,How’s the open border working out
@hadesdogs4366,So how’s everyone enjoying bidenomics so far 😂😂
@tarellalovelace,Can’t stand what Biden has done. He has caused increased gas and food prices just to name a few. He has clearly done some really dumb things. I think it’s time he gives it up and just try to enjoy retirement.
@Catalion100,"Even if old age affects Joe Biden, he is still a much better choice than Donald Trump."
@melanieleon3070,Biden come on we had a re 2:45:39 revolution against england. We had the tea party. So we cant do anything when unhappy with the ruling 'class'....NO CLASS
@user-hp8le9lh2o,Why does Joe Biden look like a robot for some reason???
@nicolesavioz6601,Presidential?????
@sidiousthesus1984,"2:11:50 ""with...the covid...the skibidi with..."" 😭

Biden having brainrot actually makes a lot a sense"
@Nat-uu1nl,"I couldn't understand what biden was saying. The only thing running through my mind is how embarrassing it it!! The whole world is laughing at us, I have a lot of friends all over the world and they perceive us now as a ""weak country with no back bone, that can't even show teeth anymore, it 's a helpless baby"". What did this country came to? Illegal immigrants are running our country, taking advantage of what America offers and we, working people, are paying for this."
@Yourereallykiddingme,YOU CANNOT DEBATE LIES!!!!!!
@andrewp9982,Biden has testing crapped his pants face.  Dazed and confused doesn’t begin to describe him
@KuntheaSoeung,Trump is better than Joe
@KuntheaSoeung,Trump will win the Vote
@overaroundunder,Somebody please timestamp where the debate actually starts?
@junedakhtar9238,2:21:33 funniest part of this debate 😂
@maximilliankhalil2259,"This is terrible to hear, Biden got 2 days left, God forgive me"
@zaithephotographer8792,Just to cut off the trash The debate stars at 2:02:13. Thank me later 😘
@Marcusiswithdemon,"Trump：✋😄🤚
Biden：🤤
Trump：☝😄
Biden：🤤
Trump：✊😁
Biden：🤤
Trump：💪🤠🇺🇲👍
Biden:☺️
    ✌️👔✌️
    🦵💩🦵
Trump：🤣🤣🤣
God Bless America❤"
@AM-sp9ho,😂 envey of the world
@AM-sp9ho,What a fckin stage show
@DavidJioo,Biden is a political genius just like Stephen Hawking was a genius of a physicist. Both had speech impairments yet excelled in their respective fields.
@AM-sp9ho,God help us this is all bs
@AM-sp9ho,What a fckin joke ffs
@cattinkerbell4946,"If you know the movie ""Life of Brian"": 
Biden is the preacher with the least watchers under the balcony."
@MC1RPOSITIVESusieQ,"2:48:16 duh, SUPREME COURT RULED IMMUNITY 😂
95% of these Lefty Shenanigans are going Bye bye😂"
@k5307,واقعا خاک تو سر ما یه هند و ویتنام و پاکستان و افریقا زیر نویس دارن تو یوتوب ، ولی ایران نداره
@MC1RPOSITIVESusieQ,Holly so annoying... Bad journalism. All opinions & no facts
@MC1RPOSITIVESusieQ,"5:40 uh... Supreme Court ruled immunity 😂 95% of all the lefts shinnanigans are going bye-bye!
🇺🇸 PRESIDENT 🇺🇸 TRUMP 🇺🇸2024"
@MC1RPOSITIVESusieQ,"🇺🇸TRUMP 2024🇺🇸
""THIS IS THE WAY"""
,Donald Trump hasn't changed since two years ago. still lucid
@bretdrummer,Its over for biden
@francoaugustogomezparody4177,"Bruh Biden look so uncanny, like a weird animatronic with an IA voice 💀💀💀"
@markshoukry7458,"Trump speaks with great confidence and speaks honestly... As for Biden, he was someone who taught how to speak"
@BusterMSC1,Biden wants people to believe he is young and cognizant but I literally just watched a campaign video where he is talking about “malarkey”. Who is advising him? Someone trying to make him seem even older than he is? I don’t know anyone under 80 that uses that word. Sabotage from the inside?
@QUEENofHEARTZ1973,Biden is by FAR THE MOST EMBARRASSMENT TO THE AMERICAN PEOPLE
