Comment,Cluster
word food crapilicious,other_cyberbullying
classy whore,other_cyberbullying
p thanks head concerned another angry dude twitter,other_cyberbullying
isi account pretending kurdish account,ethnicity
yes test god good bad indifferent weird whatever prof god existence,ethnicity
everything mostly priest,ethnicity
rebecca black drop school due bullying,other_cyberbullying
bully flush kd,other_cyberbullying
rt turkish state killed 241 child last 11 year,ethnicity
love best response hotcake managed film non committal meh adolescent,other_cyberbullying
twitter basically angry letter generation,other_cyberbullying
best pick line,other_cyberbullying
love people call james potter bully,other_cyberbullying
officially hate stupid bus system,other_cyberbullying
know saudi chased girl burning building,ethnicity
still jack amsterdam ciroc crown bud light lime rita cru love handle,not_cyberbullying
men one going push real change,not_cyberbullying
one power generally,ethnicity
wishing arena partner,not_cyberbullying
education nation bullying turn 10,other_cyberbullying
isso é bullying,other_cyberbullying
event like daily occurrence around world,ethnicity
isolate one,ethnicity
know people like listen old school,not_cyberbullying
first time happened,not_cyberbullying
probably worst though,other_cyberbullying
contact form site bugged,ethnicity
turn use email subject prefix break everything,ethnicity
silly wordpress,other_cyberbullying
thing uber even horrible sexist shitty company would still,other_cyberbullying
think third period teacher like always tell go class walk u class,other_cyberbullying
quote jacking one hand pointing,other_cyberbullying
hope round humbled girl cook,other_cyberbullying
look dc public school bullying lgbt student gone,other_cyberbullying
really miss classmate n schoolmate,other_cyberbullying
promo girl going bring next round,not_cyberbullying
bring store bought capsicum,ethnicity
fuck paper bullshit,other_cyberbullying
charlie brown thanksgiving,not_cyberbullying
let talk mean victim,other_cyberbullying
rte lead shutting badal school backward area amp parent mostly allow join far away school,ethnicity
feeling perturbed woman humble kindly go set fire,other_cyberbullying
oh hey ashamed disgusting self,other_cyberbullying
good news ever problem big mean bully know call,other_cyberbullying
done bother rest pathetic shit show,other_cyberbullying
rather funny u completely different yet complement skill set well,other_cyberbullying
noticed save witty reply sexist little panache,other_cyberbullying
yeap breeding violence thing well,ethnicity
lil bro bully last night,other_cyberbullying
time trying squeeze logic religious nut crazy isi,ethnicity
follow news report shooting death trial,ethnicity
unlike men fix car fit giant fucking swelled head,other_cyberbullying
really bean,other_cyberbullying
wait voting come back school,ethnicity
rt ceo sony europe vehemently unequivocally condemns misogynistic harassment,ethnicity
even alle bully beatdown afleveringen gedownload van season 1 en 2,other_cyberbullying
freaky as ready as hoe,other_cyberbullying
old oil cliche,other_cyberbullying
rt round round go stop nobody know,other_cyberbullying
first social test year,not_cyberbullying
start thursday,not_cyberbullying
class canceled tomorrow tho,not_cyberbullying
thing facebook well cause shit promote cyber bullying,other_cyberbullying
even pickthall englishman muslim convert,ethnicity
boy gianluca toni class another big 6ft 5 lunk,other_cyberbullying
mum need college bad handbag,other_cyberbullying
really wish could graduate already go college get away sibling,not_cyberbullying
best bully stick spotlight breed honor maddie american eskimo always love getting email,other_cyberbullying
walk circle around black meteor mecca delusion please god,ethnicity
know hundred christian single one fit discription,ethnicity
like people like ramus complain thing support done others,ethnicity
best martial art stopping bullying,ethnicity
swore raven gon na whoop as,other_cyberbullying
rt seriously feed formula newborn twenty time vitamin breastmilk,not_cyberbullying
anti bullying workshop offer parent practical legal solution 30 percent student nationwide h,ethnicity
benchmark success team greek next door always going feeling confident,not_cyberbullying
know never recall name employer,not_cyberbullying
rt might eat word receiving great feedback ham gruyere dish,other_cyberbullying
white dude win nobel lit shocking next tell novel speak universal human experience,other_cyberbullying
kudos able stretch show,not_cyberbullying
month onto show still dont final team,not_cyberbullying
people seem really warped view republican even mean lately,ethnicity
party line majorly shifted,ethnicity
lolol boy whipped af,other_cyberbullying
come stay alive knight nation,ethnicity
still early bird special,not_cyberbullying
girl need learn churn,other_cyberbullying
stick day job girl,other_cyberbullying
crap lynn tony stayed,other_cyberbullying
evidence intentionally targeting child,ethnicity
even certain israeli boat,ethnicity
turning block list could pretty rad,not_cyberbullying
4am work bos bad mood messed schedule dc driver ran dumpster,other_cyberbullying
bottom 2 team round going back instant restaurant,not_cyberbullying
4 top team 1 ea round amp top round amp also safe,not_cyberbullying
ongoing endless occupation anywhere,ethnicity
minnesota gay teen bullied adult peer say activist reuters reuters barb schroeder knew,other_cyberbullying
7 smear lemon tart,not_cyberbullying
pretty sure hiding ability actually cook,other_cyberbullying
im take 20 hour download,ethnicity
walked shelter puppy date,not_cyberbullying
success many definition,ethnicity
top head gta,not_cyberbullying
twistedmetalblack,ethnicity
understand woman industry must choose incompeten,not_cyberbullying
much happier financially secure adult kid paycheck paycheck household great parent,not_cyberbullying
keeping later trackies tshirt ha x,not_cyberbullying
current system inadequate,ethnicity
u experienced navigating pitfall help,not_cyberbullying
child parent sent u sunday school think time,not_cyberbullying
get bullying tough time thinking got make see light end nsn,other_cyberbullying
watched isi guy argue saudi muslim scholar twitter,ethnicity
scholar always loose,ethnicity
talking 2 employee heard lot internal politics gg,not_cyberbullying
enough make stay,ethnicity
good trash mocked world,other_cyberbullying
oh gosh played ready run tonight,other_cyberbullying
anyone went church service morning,ethnicity
little one stay go nursery sunday school class,not_cyberbullying
100 sure started going anywhere good,not_cyberbullying
rt thought safe go back kitchen,not_cyberbullying
ypg pesh showing video truckloads daesh body,ethnicity
still waiting big event promised,not_cyberbullying
bully dont make cool,other_cyberbullying
regardless isi completely defeated,ethnicity
technologically backward win modern war,ethnicity
video kevin durant get flushed geoff aka big bully dyckman,other_cyberbullying
would much prefer watch cowboy bebop made chelsea,other_cyberbullying
answer lost,not_cyberbullying
got code interpret amp analyze weight going take lot fiddling,not_cyberbullying
sociedade bullying,other_cyberbullying
stay instagram twitter class,not_cyberbullying
rt like total recall two breast,not_cyberbullying
curious rest non bay area country normal see tweet make news,ethnicity
check go home,not_cyberbullying
let hear short work school week,not_cyberbullying
pete eating,other_cyberbullying
would love,not_cyberbullying
would mind dming email address,not_cyberbullying
shoot email later today,not_cyberbullying
think classic tho,other_cyberbullying
caller wanted mike opinion r liable,ethnicity
incidentally know editor,not_cyberbullying
woman gamer tech,not_cyberbullying
person think 6 people tweeting sealioning as worst thing world,other_cyberbullying
behind u corner,other_cyberbullying
first bandera fought nazi also nazi prison,ethnicity
2 team member sticking,other_cyberbullying
thanks everyone,not_cyberbullying
adverse putting boot ground raqqa letting boy kill isi scope sight,ethnicity
yep rt always like public school affirmation,not_cyberbullying
sure sew tiny stitch clothes underpaid woman overseas,ethnicity
see channel 7 found another way drag extra month year,not_cyberbullying
perfect seat class would one surrounded best friend crush,other_cyberbullying
shittiest day week,other_cyberbullying
one player pitch class,not_cyberbullying
rt watching india daughter horrifying,ethnicity
lawyer defending rapist best culture,ethnicity
hope cooking show next round,not_cyberbullying
mean plate right,not_cyberbullying
feel sorry colin eat 2 serving,other_cyberbullying
n rage pink 1 week turquoise mix special fx,other_cyberbullying
michelle heartless bitch bachman sign anti bullying law cause want 2 turn boy in2 girl wtf,other_cyberbullying
bullying linked decrease gpa longer lasting negative psychological effect obesity,other_cyberbullying
gon na cry minute fucking cope math,other_cyberbullying
stop lying,ethnicity
apparently,not_cyberbullying
tbh rooting jane emma bc lawyer bond,ethnicity
make status facebook saying hate bully bully like,other_cyberbullying
rt wtf man get upset woman tech upset said man silence woman,other_cyberbullying
another 7 ffs,ethnicity
apt complex turn away package,ethnicity
fact 4958239689587 cute boy world 0 go school sick shit,other_cyberbullying
rt islamic state resupply route extended 400 km peshmerga take road,ethnicity
kno play u always bully n champion,other_cyberbullying
since slug closer iq understand fascination,not_cyberbullying
ubisoft attempt pushing uplay rage inducing,other_cyberbullying
twitter make laugh,other_cyberbullying
definition mean jack,other_cyberbullying
course would also fight theocracy regardless religion,ethnicity
see coach get mad player go late night,other_cyberbullying
iphone fucked come properly,other_cyberbullying
nothing broken,ethnicity
driving througg lot water,ethnicity
really feelin social xmas party realized deal people saying done w school yet,other_cyberbullying
one strongest tool stopping violence woman public shame abuser public support victim,ethnicity
wish buddy staunton rather terrible driving class,other_cyberbullying
still stage given finding good task list mgt app fit workflow use notepad,not_cyberbullying
feeling remote may go tv next hour two clown,other_cyberbullying
oh watched wrong film first,other_cyberbullying
download hehe thanks,ethnicity
pronounced voite,ethnicity
work monday 2 7 yayyy get see saw school,not_cyberbullying
crippen convicted old bailey poisoning wife subsequently hanged pentonville prison london,ethnicity
none young mum know thinking gon na yummy mummy,other_cyberbullying
thats bullying unghh,other_cyberbullying
believe people still surprised annie lloyd cook,other_cyberbullying
almost exclusively used woman arguing men,other_cyberbullying
se ele colocou minha ft twitpic autorizou cometer bullying lei nº 930138978947324,ethnicity
reserve game cancelled mean sitting bench rest year,ethnicity
birdman racist misogynist trash masquerading high art,other_cyberbullying
oh shit accidentally blocked,other_cyberbullying
granular monitoring redis would good,ethnicity
ur bully look official homo lol,other_cyberbullying
see history computer science textile worker,ethnicity
people mean men,other_cyberbullying
woman clearly imprisoned home,ethnicity
52 bully dog 33307 custom pillar mount 67,ethnicity
place brainwashed uneducated,ethnicity
continue describe tom hiddleston want belong entirely,ethnicity
tha time info meant 2b shared way get diff perspective page variety ppl follow,ethnicity
need invest yakbak press button need say ironic sexism still sexism,other_cyberbullying
finally food relate,not_cyberbullying
asap rocky mmm mmmmm voice sexy care,other_cyberbullying
prob w public figure like say shit like cause storm,other_cyberbullying
daesh great job producing hell earth people living area,ethnicity
come minute get home family wind never annoyed like school,other_cyberbullying
2 rookie back 4 carroll need bully,other_cyberbullying
feel like necessary today,not_cyberbullying
annie lloyd cooking breakfast,other_cyberbullying
appreciate every donation received,ethnicity
ppl threaten pull funding say thing want hear fuck,other_cyberbullying
rt way global medium pay respect martyr reprinting republishing,ethnicity
new idea headline shock,not_cyberbullying
manu camping involved show either,other_cyberbullying
ask would guy,other_cyberbullying
fucking stop,other_cyberbullying
overturn election either place people people right long elect new ppl,ethnicity
even geared playing much,other_cyberbullying
need couple 8,not_cyberbullying
borad st bully,other_cyberbullying
look like thing turned around daesh quick run away,ethnicity
stan got last word blocking ever heard caustic rename thanks awfully mwah,other_cyberbullying
whether life disability left outcast bullied teased rejoice love today cause babyyy u born way,not_cyberbullying
god bless mom bringing home chinese food,ethnicity
anyone interested contributing project discipline excel template go town,ethnicity
ever wondered idea 72 virgin come islam,ethnicity
hadith describing,ethnicity
like time school got free lunch cool kid beat u,other_cyberbullying
nutrition key closing,not_cyberbullying
life expectancy gap,ethnicity
seriously someone get girl english lesson idea saying,other_cyberbullying
great hear voice long day work,not_cyberbullying
questioned good idea someone crowd came forward hug amp started cry,other_cyberbullying
know people talk often get drunk facebook twitter,other_cyberbullying
child girl naming frankie cause cute fricking girl name omg,other_cyberbullying
call break like promise casually cruel name honest,other_cyberbullying
kat andre celebrating bad cooking bad attitude strategic scoring,other_cyberbullying
know open source o used contribute,ethnicity
agreed sure w,not_cyberbullying
russia 157 168 nation pes freedom,ethnicity
anti bully zone favorite beat song ch ever done,other_cyberbullying
even chicken back caveman time pete,other_cyberbullying
take kat amp andre scum earth lol,not_cyberbullying
com sending positive messg live health awareness stop gang drug abuse bullying ect,other_cyberbullying
rt friend facebook acct might get shut legal name name use known,not_cyberbullying
anyone fb know,not_cyberbullying
union bullying getting really old stop,other_cyberbullying
idea make think clever far every one tweet moronic,other_cyberbullying
stinky as people wonder come school,other_cyberbullying
offering u pension,ethnicity
seems season never going finish,not_cyberbullying
wait see pete amp manu flying cattle class jetstar,not_cyberbullying
think statement equally racist original tweet sexist,other_cyberbullying
everybody went school enjoyed day bed sleeping,other_cyberbullying
lloyd could show done,not_cyberbullying
rt entire history anti racism birth,ethnicity
rt believe wikipedia page attack,ethnicity
definition really muslim terrorist,ethnicity
accidentally numbed half mouth,other_cyberbullying
everything isi hold stolen including raqqa,ethnicity
another bloody instant restaurant week,other_cyberbullying
jumped shark riding two shark powered shark power,not_cyberbullying
interpretation six year old,ethnicity
69 child suffer bullying school gt,other_cyberbullying
since victim woman guess arsed give shit,other_cyberbullying
amp one know comb hair amp look presentable,other_cyberbullying
rt isi executing educated professional woman,ethnicity
user want transparency abuse system difficulty,ethnicity
allow people game system,ethnicity
waiting thee orthodontist,other_cyberbullying
